id,name,type,link,is_primary,student,lecture_id
cornell-cs4780,Cornell CS4780,video,https://youtu.be/pDHEX2usCS0?si=cPLXGP4n4A-FuNtI,FALSE,,lec-bayesian-reasoning
conditional-probability-statquest,Conditional Probability (StatQuest),video,https://youtu.be/1ONDvW1UIJc?si=3mNParEk5_PjfnZN,FALSE,,lec-bayesian-reasoning
bayes-theorem-statquest,Bayes' Theorem (StatQuest),video,https://youtu.be/9wCnvr7Xw4E?si=PEhYzKTasfIq1xOx,FALSE,,lec-bayesian-reasoning
likelihood-statquest,Likelihood (StatQuest),video,https://youtu.be/pYxNSUDSFH4?si=zt0zdX9Kf8-Z58jR,FALSE,,lec-bayesian-reasoning
pdfs-statquest,PDFs (StatQuest),video,https://youtu.be/oI3hZJqXJuc?si=z0mmgAYp_kQXztLu,FALSE,,lec-bayesian-reasoning
mle-statquest,MLE (StatQuest),video,https://youtu.be/XepXtl9YKwc?si=eIiQ1SJeyVNEj_ey,FALSE,,lec-bayesian-reasoning
naive-bayes-statquest,Naive Bayes (StatQuest),video,https://youtu.be/O2L2Uv9pdDA?si=rAU-89pPD7qt_U-l,FALSE,,lec-bayesian-reasoning
gaussian-nb-statquest,Gaussian NB (StatQuest),video,https://youtu.be/H3EjCKtlVog?si=BlD029fjYUcvGMAq,FALSE,,lec-bayesian-reasoning
bayesian-reasoning-hdm,Bayesian Reasoning (HdM),reading,https://hannibunny.github.io/mlbook/machinelearning/parametricClassification1D.html,FALSE,,lec-bayesian-reasoning
naive-bayes-raschka,Naive Bayes (Raschka),blogpost,https://sebastianraschka.com/Articles/2014_naive_bayes_1.html,FALSE,,lec-bayesian-reasoning
1763-an-essay-towards-solving-a-problem-in-the-doctrine-of-chances-bayes,(1763) An Essay towards Solving a Problem in the Doctrine of Chances (Bayes),paper,https://royalsocietypublishing.org/doi/10.1098/rstl.1763.0053,FALSE,,lec-bayesian-reasoning
1812-thxe9orie-analytique-des-probabilitxe9s-laplace,"""(1812) Th\xE9orie Analytique des Probabilit\xE9s (Laplace)""",paper,https://archive.org/details/thorieanalytiqu01laplgoog,FALSE,,lec-bayesian-reasoning
1985-bayesian-networks-a-model-of-selfactivated-memory-for-evidential-reasoning-pearl,(1985) Bayesian Networks - A Model of Self-Activated Memory for Evidential Reasoning (Pearl),paper,https://ftp.cs.ucla.edu/tech-report/198_-reports/850017.pdf,FALSE,,lec-bayesian-reasoning
1988-probabilistic-reasoning-in-intelligent-systems-networks-of-plausible-inference-pearl,(1988) Probabilistic Reasoning in Intelligent Systems - Networks of Plausible Inference (Pearl),paper,https://www.sciencedirect.com/book/9780080514895/probabilistic-reasoning-in-intelligent-systems,FALSE,,lec-bayesian-reasoning
1998-a-comparison-of-event-models-for-naive-bayes-text-classification-mccallum-and-nigam,(1998) A Comparison of Event Models for Naive Bayes Text Classification (McCallum and Nigam),paper,https://cdn.aaai.org/Workshops/1998/WS-98-05/WS98-05-007.pdf,FALSE,,lec-bayesian-reasoning
bayesian-networks-an-introduction,Bayesian networks - an introduction,reading,https://www.bayesserver.com/docs/introduction/bayesian-networks/,FALSE,,lec-bayesian-reasoning
bayes-rule-explained-for-beginners,Bayes' Rule - Explained for Beginners,blogpost,https://www.freecodecamp.org/news/bayes-rule-explained/,TRUE,,lec-bayesian-reasoning
slides,Slides,reading,https://drive.google.com/file/d/1nxDdZ8CzZMQlwrP2puTnCKZVUcNzON5V/view?usp=sharing,FALSE,,lec-bayesian-reasoning
probability-vs-likelihood,Probability vs. Likelihood,blogpost,https://medium.com/@wl8380/probability-vs-likelihood-the-most-misunderstood-duo-in-data-science-759fc4dcb730,FALSE,,lec-bayesian-reasoning
panopto,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=fcd2e1b6-c4f4-45a5-a961-b360015db604,FALSE,,lec-bayesian-reasoning
slides,Slides,reading,https://drive.google.com/file/d/1w1-FYKkQ2WvjHC6ptI7VqxxcIyrU2Mfe/view?usp=sharing,FALSE,,lec-linear-regression
sp25-panopto,sp25 Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=f05aae98-bacc-46cd-86a0-b287016e7805,FALSE,,lec-linear-regression
fca-sections-732-first-few-paragraphs-and-742,FCA - Sections 7.3.2 (First few paragraphs) and 7.4.2,reading,https://artint.info/3e/html/ArtInt3e.Ch7.S3.html,FALSE,,lec-linear-regression
pml-sections-75-813-chapter-11,"PML - Sections 7.5, 8.1.3, Chapter 11",reading,https://probml.github.io/pml-book/book1.html,FALSE,,lec-linear-regression
islp-chapter-3,ISLP - Chapter 3,reading,https://www.statlearning.com/,FALSE,,lec-linear-regression
-d2l-chapter-31, D2L - Chapter 3.1,reading,https://d2l.ai/chapter_linear-regression/linear-regression.html,FALSE,,lec-linear-regression
uml-chapter-92,UML - Chapter 9.2,reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html,FALSE,,lec-linear-regression
stanford-cs221,Stanford CS221,reading,https://www.youtube.com/watch?v=nEWNNt2KmfQ&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=5,FALSE,,lec-linear-regression
harvard-cs50,Harvard CS50,reading,https://youtu.be/-g0iJjnO2_w?si=jNuQG0o83uKw0qbR&t=2371,FALSE,,lec-linear-regression
cornell-cs4780,Cornell CS4780,reading,https://youtu.be/_21o_ylL0q4?si=ee6JJ2WxAvA9hfyr,FALSE,,lec-linear-regression
-singular-value-decomposition, Singular Value Decomposition,notebook,https://colab.research.google.com/drive/1aCfC28VxUD-V5lKOZseAkCbWNrqyg1zn?usp=sharing,FALSE,,lec-linear-regression
linear-regression-and-regularization,Linear Regression and Regularization,notebook,https://colab.research.google.com/drive/12I7itMdgphH0ByQPgIIcDlCaYFeCRO0e?usp=sharing,FALSE,,lec-linear-regression
polynomial-regression,Polynomial Regression,notebook,https://colab.research.google.com/drive/1-cJATF_fPmO8CyFtjqDM04RRnhCMRfNg?usp=sharing,FALSE,,lec-linear-regression
-linear-regression-statquest, Linear Regression (StatQuest),video,https://youtu.be/nk2CQITm_eo?si=LtdQNRlau17NbjjF,FALSE,,lec-linear-regression
multiple-regression-statquest,Multiple Regression (StatQuest),video, https://youtu.be/zITIFTsivN8?si=f0YbEmnZ6_XFMpY5,FALSE,,lec-linear-regression
bias-and-variance-statquest,Bias and Variance (StatQuest),video,https://youtu.be/EuBBz3bI-aA?si=WYsqtbrIZ6ICrYGP,FALSE,,lec-linear-regression
l2-regularization-statquest,L2 Regularization (StatQuest),video,https://youtu.be/Q81RR3yKn30?si=tMvAc1m9RHe7WYgH,TRUE,,lec-linear-regression
l1-regularization-statquest,L1 Regularization (StatQuest),video,https://youtu.be/NGf0voTMlcs?si=QACQkO-8Msm95saj,TRUE,,lec-linear-regression
l1-vs-l2-visualization-statquest,L1 vs. L2 Visualization (StatQuest),video,https://youtu.be/Xm2C_gTAl8c?si=MovbjzS6Cf-PN70-,FALSE,,lec-linear-regression
linear-regression-mlu,Linear Regression (MLU),blogpost,https://mlu-explain.github.io/linear-regression/,TRUE,,lec-linear-regression
linear-regression-rasbt,Linear Regression (rasbt),notebook, https://github.com/rasbt/machine-learning-book/blob/main/ch09/ch09.ipynb,FALSE,,lec-linear-regression
linear-regression-hdm,Linear Regression (HdM),reading,https://hannibunny.github.io/mlbook/machinelearning/LinReg.html,FALSE,,lec-linear-regression
1805-nouvelles-mxe9thodes-pour-la-dxe9termination-des-orbites-des-comxe8tes-legendre,"(1805) Nouvelles M\xE9thodes Pour la D\xE9termination des Orbites des\
        \ Com\xE8tes (Legendre)",paper,https://books.google.com/books/about/Nouvelles_m%C3%A9thodes_pour_la_d%C3%A9terminati.html?id=FRcOAAAAQAAJ,FALSE,,lec-linear-regression
1809-theoria-motus-corporum-coelestium-in-sectionibus-conicis-solem-ambientium-gauss,(1809) Theoria Motus Corporum Coelestium in Sectionibus Conicis Solem Ambientium (Gauss),paper,https://archive.org/details/bub_gb_ORUOAAAAQAAJ,FALSE,,lec-linear-regression
1970-ridge-regression-biased-estimation-for-nonorthogonal-problems-hoerl-and-kennard,(1970) Ridge Regression - Biased Estimation for Nonorthogonal Problems (Hoerl and Kennard),paper,https://homepages.math.uic.edu/~lreyzin/papers/ridge.pdf,FALSE,,lec-linear-regression
1996-regression-shrinkage-and-selection-via-the-lasso-tibshirani,(1996) Regression Shrinkage and Selection via the Lasso (Tibshirani),paper,https://www.jstor.org/stable/2346178?seq=1,FALSE,,lec-linear-regression
panopto,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=fcd2e1b6-c4f4-45a5-a961-b360015db604,FALSE,,lec-linear-regression
slides,Slides,reading,https://drive.google.com/file/d/15waj2uQkXLuol_MGcQ9x7p4otdmddXpx/view?usp=sharing,FALSE,,lec-perceptrons
pml-section-1025,PML - Section 10.2.5,reading,https://probml.github.io/pml-book/book1.html,FALSE,,lec-perceptrons
uml-section-912,UML - Section 9.1.2,reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html,FALSE,,lec-perceptrons
panopto,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=ed8b2037-1683-41ad-af60-b290016968af,FALSE,,lec-perceptrons
harvard-cs50,Harvard CS50,video,https://youtu.be/-g0iJjnO2_w?si=rsqf3IhYQV_PKjkc&t=751,FALSE,,lec-perceptrons
cornell-cs4780,Cornell CS4780,video,https://youtu.be/wl7gVvI-HuY?si=25ULeFrFpBytCOTn,FALSE,,lec-perceptrons
