Section,Date,Topics,Resource Name,Type,Link
Supervised Learning,Wed 02/26,Perceptrons,Perceptrons,video,https://youtu.be/l-9ALe3U-Fg?si=tS0U8QDoRylnSHnZ
Supervised Learning,Wed 02/26,Perceptrons,Perceptron,notebook,https://drive.google.com/file/d/1iX-UsNbA9hPjXkK2xUWrKpGQ-YyQtqcT/view?usp=sharing
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,Slides,reading,https://drive.google.com/file/d/1Pn8WPGIpyNlp4LmZVvSvEXcm2qOQiZJ3/view?usp=sharing
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,FCA - Section 7.3.2,reading,https://artint.info/3e/html/ArtInt3e.Ch7.S3.html
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,PML - Chapter 10,reading,https://probml.github.io/pml-book/book1.html
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,ISLP - Chapter 4.3,reading,https://www.statlearning.com/
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,UML - Section 9.3,reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=ce3f234d-f8c8-463f-b7f0-b2950169e996
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,Numpy LR and GD,notebook,https://colab.research.google.com/drive/1Td14eL3FLIjn5WxUlmdIT1A2nyYZ-Oms?usp=sharing
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,Cornell CS4780,video,https://youtu.be/GnkDzIOxfzI?si=zeTur4eTkD7uHHiv
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,Logistic Regression (StatQuest),video,https://youtu.be/yIYKR4sgzI8?si=1HhaymUgRNNAMEy3
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,Gradient Descent (StatQuest),video,https://youtu.be/sDv4f4s2SB8?si=TrI_ge8kywlfgmrv
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,Gradient Descent (3b1b),video,https://youtu.be/IHZwWFHWa-w?si=Kn21ycaonExUo5Br
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,Visualizing Gradient Descent,notebook,https://www.kaggle.com/code/christianwittmann/visualizing-gradient-descent-in-3d
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,Logistic Regression (MLU),blogpost,https://mlu-explain.github.io/logistic-regression/
Supervised Learning,Mon 03/03,Logistic Regression and Gradient Descent,Logistic Regression Visualization,notebook,https://colab.research.google.com/drive/1EEsiC4noy6ncQdm9wxLnPwO82R9zncWQ?usp=sharing
Supervised Learning,Wed 03/05,SVMs and KNNs,Slides,reading,https://drive.google.com/file/d/1yZQ1PU5rskoMkXppoBKQqCFu7FSjjbd-/view?usp=sharing
Supervised Learning,Wed 03/05,SVMs and KNNs,"PML - Sections 16.1, 17.3",reading,https://probml.github.io/pml-book/book1.html
Supervised Learning,Wed 03/05,SVMs and KNNs,"ISLP - Sections 3.5, 4.7.6 and Chapter 9",reading,https://www.statlearning.com/
